Date,Time,Open,High,Low,Close,Volume
2016.08.11,12:00,131.196,131.726,131.159,131.371,29074
2016.08.11,16:00,131.361,131.824,131.2,131.781,30298
2016.08.11,20:00,131.787,132.239,131.766,132.019,17363
2016.08.12,0:00,132.018,132.434,131.81,132.369,12849
2016.08.12,4:00,132.369,132.516,132.229,132.307,14334
2016.08.12,8:00,132.307,132.453,132.057,132.282,23439
2016.08.12,12:00,132.286,132.491,131.303,131.392,31568
2016.08.12,16:00,131.393,131.501,130.347,130.688,43188
2016.08.12,20:00,130.686,130.929,130.512,130.772,14090
2016.08.15,0:00,130.672,130.928,130.511,130.902,11102
2016.08.15,4:00,130.903,131.197,130.862,130.887,14294
2016.08.15,8:00,130.887,130.957,130.385,130.44,25694
2016.08.15,12:00,130.447,130.61,130.078,130.179,27487
2016.08.15,16:00,130.177,130.368,129.967,130.316,33098
2016.08.15,20:00,130.313,130.439,130.219,130.375,10766
2016.08.16,0:00,130.382,130.473,130.191,130.234,9108
2016.08.16,4:00,130.234,130.246,129.463,129.684,20030
2016.08.16,8:00,129.691,130.419,129.229,129.968,39556
2016.08.16,12:00,129.974,130.12,129.05,129.645,45147
2016.08.16,16:00,129.642,130.881,129.609,130.772,47381
2016.08.16,20:00,130.765,130.855,130.538,130.82,13783
2016.08.17,0:00,130.826,131.295,130.488,131.209,16020
2016.08.17,4:00,131.21,131.493,130.963,131.321,17601
2016.08.17,8:00,131.318,131.805,130.972,131.128,35516
2016.08.17,12:00,131.124,131.45,130.838,131.156,27994
2016.08.17,16:00,131.164,131.197,130.266,130.52,34979
2016.08.17,20:00,130.515,130.941,130.364,130.719,29448
2016.08.18,0:00,130.706,130.801,130.001,130.273,18503
2016.08.18,4:00,130.28,130.926,130.268,130.712,24066
2016.08.18,8:00,130.714,131.928,130.262,131.839,40056
2016.08.18,12:00,131.839,132.254,131.76,132.063,41008
2016.08.18,16:00,132.07,132.095,131.389,131.405,34045
2016.08.18,20:00,131.412,131.666,131.196,131.474,17612
2016.08.19,0:00,131.469,132.004,131.418,131.895,15825
2016.08.19,4:00,131.896,131.996,131.44,131.86,20148
2016.08.19,8:00,131.863,131.89,131.281,131.379,29915
2016.08.19,12:00,131.369,131.732,130.893,131.203,31902
2016.08.19,16:00,131.208,131.268,130.328,130.867,34872
2016.08.19,20:00,130.875,131.097,130.815,131.041,11946
2016.08.22,0:00,131.48,131.654,131.126,131.312,17253
2016.08.22,4:00,131.313,131.551,131.143,131.482,21039
2016.08.22,8:00,131.481,132.147,131.282,132.063,33545
2016.08.22,12:00,132.066,132.078,131.394,131.417,29597
2016.08.22,16:00,131.415,131.937,131.353,131.727,35014
2016.08.22,20:00,131.721,131.832,131.615,131.768,11853
2016.08.23,0:00,131.768,131.888,131.435,131.552,14346
2016.08.23,4:00,131.551,131.905,131.512,131.635,17240
2016.08.23,8:00,131.628,132.317,131.583,132.095,34070
2016.08.23,12:00,132.09,132.218,131.856,131.944,27289
2016.08.23,16:00,131.951,132.262,131.866,132.142,34188
2016.08.23,20:00,132.144,132.285,132.055,132.268,13768
