,Date,Time,Open,High,Low,Close,Volume,Date_Time
0,2016-05-23 23:00:00,23:00,1249.34,1249.67,1248.6,1248.86,1253,2016.05.23 23:00
1,2016-05-24 01:00:00,01:00,1248.83,1250.04,1248.31,1249.73,1149,2016.05.24 01:00
2,2016-05-24 02:00:00,02:00,1249.71,1249.71,1248.44,1249.44,1432,2016.05.24 02:00
3,2016-05-24 03:00:00,03:00,1249.43,1252.09,1245.65,1248.26,4575,2016.05.24 03:00
4,2016-05-24 04:00:00,04:00,1248.25,1249.07,1246.63,1247.95,4660,2016.05.24 04:00
5,2016-05-24 05:00:00,05:00,1247.94,1248.41,1246.77,1247.45,3796,2016.05.24 05:00
6,2016-05-24 06:00:00,06:00,1247.45,1247.47,1244.41,1245.2,3841,2016.05.24 06:00
7,2016-05-24 07:00:00,07:00,1245.16,1245.98,1244.46,1245.84,2956,2016.05.24 07:00
8,2016-05-24 08:00:00,08:00,1245.85,1246.32,1243.92,1244.63,4661,2016.05.24 08:00
9,2016-05-24 09:00:00,09:00,1244.64,1246.13,1242.81,1242.81,8104,2016.05.24 09:00
10,2016-05-24 10:00:00,10:00,1242.82,1244.41,1242.2,1242.68,8829,2016.05.24 10:00
11,2016-05-24 11:00:00,11:00,1242.69,1243.91,1241.81,1243.2,7174,2016.05.24 11:00
12,2016-05-24 12:00:00,12:00,1243.17,1244.01,1241.71,1242.7,6505,2016.05.24 12:00
13,2016-05-24 13:00:00,13:00,1242.73,1243.21,1240.6,1241.41,6778,2016.05.24 13:00
14,2016-05-24 14:00:00,14:00,1241.43,1242.18,1240.84,1240.88,5530,2016.05.24 14:00
15,2016-05-24 15:00:00,15:00,1240.9,1241.69,1237.7,1238.25,12442,2016.05.24 15:00
16,2016-05-24 16:00:00,16:00,1238.27,1240.77,1235.35,1236.42,15358,2016.05.24 16:00
17,2016-05-24 17:00:00,17:00,1236.3,1237.36,1233.23,1234.4,15637,2016.05.24 17:00
18,2016-05-24 18:00:00,18:00,1234.39,1235.33,1230.23,1230.78,10678,2016.05.24 18:00
19,2016-05-24 19:00:00,19:00,1230.8,1231.49,1228.24,1228.83,9312,2016.05.24 19:00
20,2016-05-24 20:00:00,20:00,1228.83,1229.97,1228.62,1229.33,7233,2016.05.24 20:00
21,2016-05-24 21:00:00,21:00,1229.33,1229.66,1228.13,1228.28,6380,2016.05.24 21:00
22,2016-05-24 22:00:00,22:00,1228.26,1228.96,1227.48,1227.83,3271,2016.05.24 22:00
23,2016-05-24 23:00:00,23:00,1227.84,1228.1,1226.23,1227.04,1967,2016.05.24 23:00
24,2016-05-25 01:00:00,01:00,1227.0,1228.29,1226.47,1227.48,1488,2016.05.25 01:00
25,2016-05-25 02:00:00,02:00,1227.49,1227.49,1223.27,1225.28,3195,2016.05.25 02:00
26,2016-05-25 03:00:00,03:00,1225.32,1227.81,1225.16,1227.35,4484,2016.05.25 03:00
27,2016-05-25 04:00:00,04:00,1227.35,1230.1,1227.31,1229.59,5735,2016.05.25 04:00
28,2016-05-25 05:00:00,05:00,1229.6,1229.67,1227.22,1228.28,4185,2016.05.25 05:00
29,2016-05-25 06:00:00,06:00,1228.28,1228.78,1227.87,1228.42,2606,2016.05.25 06:00
30,2016-05-25 07:00:00,07:00,1228.44,1228.49,1226.68,1227.49,2751,2016.05.25 07:00
31,2016-05-25 08:00:00,08:00,1227.5,1227.98,1223.65,1225.29,6104,2016.05.25 08:00
32,2016-05-25 09:00:00,09:00,1225.34,1225.48,1222.73,1224.07,7087,2016.05.25 09:00
33,2016-05-25 10:00:00,10:00,1224.07,1225.74,1223.0,1224.0,6262,2016.05.25 10:00
34,2016-05-25 11:00:00,11:00,1223.98,1224.92,1222.84,1223.27,7206,2016.05.25 11:00
35,2016-05-25 12:00:00,12:00,1223.29,1223.4,1220.46,1221.08,7617,2016.05.25 12:00
36,2016-05-25 13:00:00,13:00,1221.1,1222.12,1220.56,1221.37,5304,2016.05.25 13:00
37,2016-05-25 14:00:00,14:00,1221.38,1223.65,1220.77,1223.65,5139,2016.05.25 14:00
38,2016-05-25 15:00:00,15:00,1223.66,1225.72,1221.12,1221.12,10028,2016.05.25 15:00
39,2016-05-25 16:00:00,16:00,1221.13,1223.01,1217.74,1219.03,12291,2016.05.25 16:00
40,2016-05-25 17:00:00,17:00,1219.05,1222.32,1217.95,1221.22,14479,2016.05.25 17:00
41,2016-05-25 18:00:00,18:00,1221.21,1223.81,1220.94,1221.83,9106,2016.05.25 18:00
42,2016-05-25 19:00:00,19:00,1221.84,1224.02,1221.33,1223.75,6564,2016.05.25 19:00
43,2016-05-25 20:00:00,20:00,1223.77,1224.95,1222.29,1224.17,7284,2016.05.25 20:00
44,2016-05-25 21:00:00,21:00,1224.22,1225.09,1223.45,1224.84,3427,2016.05.25 21:00
45,2016-05-25 22:00:00,22:00,1224.82,1224.89,1224.04,1224.07,1821,2016.05.25 22:00
46,2016-05-25 23:00:00,23:00,1224.08,1224.58,1223.94,1224.07,1143,2016.05.25 23:00
