,Close,Zigzag,High,Low
0,1248.86,,,
1,1249.73,,,
2,1249.44,,,
3,1248.26,,,
4,1247.95,,1267.58072,1230.11528
5,1247.45,,1266.5821855555562,1229.1462588888896
6,1245.2,,1264.554666666667,1227.1786666666667
7,1245.84,,1264.194980740741,1226.829611851852
8,1244.63,,1263.2820738683124,1225.9436874485593
9,1242.81,,1261.6884653909467,1224.3971806995885
10,1242.68,,1261.0257413991767,1223.7540446090534
11,1243.2,,1261.2516174973323,1223.9732445663765
12,1242.7,,1261.1126028745623,1223.838338750191
13,1241.41,,1260.2141150561401,1222.9664072219684
14,1240.88,,1259.5201388713333,1222.2929426485355
15,1238.25,,1257.4262677787938,1220.2609593715388
16,1236.42,,1255.317480782815,1218.214501055244
17,1234.4,,1253.1207197483739,1216.0826689183725
18,1230.78,,1249.785466683748,1212.8459947620609
19,1228.83,,1247.1976550460538,1210.3346701678454
20,1229.33,,1246.7414177725539,1209.8919177398677
21,1228.28,,1246.0976078344443,1209.2671366669238
22,1227.83,,1245.739850874683,1208.9199538044952
23,1227.04,,1245.2171373101232,1208.412689901942
24,1227.48,,1245.4601794790233,1208.6485485584612
25,1225.28,,1244.113242803714,1207.3414228193678
26,1227.35,,1245.0985518013604,1208.297609383586
27,1229.59,,1247.210094154515,1210.3467416179283
28,1228.28,,1247.1922393305392,1210.3294145227399
29,1228.42,,1247.2209573591656,1210.3572837426384
30,1227.49,,1246.514736471542,1209.6719363787872
31,1225.29,,1244.599332191764,1207.8131450333867
32,1224.07,,1242.908842009373,1206.1726200780618
33,1224.0,,1242.2059296805548,1205.4904834831002
34,1223.27,,1241.493744368394,1204.7993479831212
35,1221.08,,1239.733176424752,1203.0908165304245
36,1221.37,,1239.3010080414385,1202.6714215968639
37,1223.65,,1240.8865995516207,1204.2101483333463
38,1221.12,,1239.8647702849537,1203.2185209169254
39,1219.03,,1237.967949105951,1201.3777634180906
40,1221.22,,1238.786522884295,1202.1721428975673
41,1221.83,,1239.6730437117533,1203.0324611389922
42,1223.75,,1241.4639992388018,1204.7704820199208
43,1224.17,,1242.516256235058,1205.7916378241696
44,1224.84,,1243.3665227329725,1206.6167732925892
45,1224.07,,1243.0785758158836,1206.337337121818
46,1224.07,,1242.8514065018956,1206.1168821717904
47,1222.9,,1241.849889022012,1205.1449661937752
48,1224.94,,1242.8410177647208,1206.1068004908868
49,1226.66,,1244.4913817228773,1207.7083852187527
50,1231.35,,1248.504223543759,1211.602620877441
51,1232.21,,1250.7239859798958,1213.756774571623
52,1229.3,,1249.3693795971133,1212.4422058159178
53,1229.17,,1248.4664089377018,1211.5659239444692
54,1229.85,,1248.4438909251467,1211.5440714889355
55,1228.72,,1247.5688046288,1210.694849812185
56,1227.31,,1246.1551480796854,1209.3229762152612
57,1227.18,,1245.4755021136075,1208.6634183072938
58,1227.46,,1245.4523377887597,1208.640938642294
59,1228.38,,1246.1760388570615,1209.3432495312372
60,1228.2,,1246.4131390664745,1209.5733418526872
61,1229.34,,1247.347819001685,1210.4803957799604
62,1226.42,,1245.662971502015,1208.8453467285563
63,1222.34,,1242.0104885029612,1205.300818892036
64,1222.15,,1240.3773076704008,1203.7159094141327
65,1220.23,,1238.4840759300432,1201.87863526216
66,1220.22,,1237.8654493374665,1201.2782931994134
67,1219.96,,1237.6280367446236,1201.0478977275413
68,1219.86,,1237.6343746481941,1201.0540483039124
69,1219.57,,1237.5686575146583,1200.9902735487076
70,1219.72,,1237.747511570871,1201.163841278136
71,1222.02,,1239.5375278327745,1202.900950655451
72,1222.92,,1240.976227649471,1204.297127324856
73,1219.48,,1239.0854364317975,1202.462221561892
74,1213.39,,1233.851679429567,1197.383156884851
75,1218.23,,1235.1048610684318,1198.5992986723206
76,1217.18,,1235.073649247604,1198.5690093683643
77,1220.29,,1237.378464679393,1200.8057021765535
78,1221.14,,1239.0270891970704,1202.4055988759746
79,1222.24,,1240.4720326727593,1203.8078346627271
80,1221.5,,1240.4609989136893,1203.7971270246148
81,1218.55,,1238.224534396165,1201.626764906623
82,1219.42,,1237.808976217858,1201.2234892360493
83,1220.01,,1238.0660118078483,1201.4729277150057
84,1216.7,,1235.8343840351943,1199.3072593839076
85,1215.8,,1234.2615526874379,1197.7809156621934
86,1212.96,,1231.6608783080526,1195.2571085058441
87,1214.26,,1231.6208408951354,1195.2182544647374
88,1213.49,,1231.2450615091439,1194.8535818586274
89,1212.36,,1230.4240361382722,1194.0568232474857
90,1208.85,,1227.6911449740219,1191.4047071915384
91,1210.1,,1227.5502896182422,1191.268015048245
92,1212.78,,1229.5902596083877,1193.2476903588788
93,1208.99,,1227.882663051421,1191.5905646361082
94,1207.71,,1226.2747787341016,1190.0302039931923
95,1206.02,,1224.4669873576827,1188.2758448742043
96,1202.52,,1221.3179106406876,1185.2198443163322
97,1203.4,,1220.7671281330872,1184.685341094671
98,1202.7,,1220.2573753697568,1184.1906549154785
99,1202.42,1202.42,1220.0256163815266,1183.9657459466048
100,1203.11,1202.7808496732025,1220.5714128279965,1184.4954104784006
101,1204.62,1203.1416993464052,1221.995033553144,1185.8769537436915
102,1202.95,1203.5025490196078,1221.4613863375605,1185.3590793522137
103,1204.79,1203.8633986928105,1222.536452108853,1186.4023697805126
104,1205.43,1204.2242483660132,1223.4485860796688,1187.2875441265753
105,1208.79,1204.5850980392156,1226.18949307718,1189.9474390946034
106,1209.52,1204.9459477124183,1227.7944534877963,1191.5049622517038
107,1207.28,1205.306797385621,1226.712608377772,1190.455092859217
108,1208.36,1205.6676470588236,1226.848024868759,1190.5865068923424
109,1207.09,1206.028496732026,1225.9012636746497,1189.6677287877142
110,1207.37,1206.3893464052287,1225.6261096362202,1189.4007073809623
111,1205.01,1206.7501960784314,1223.8039324821698,1187.632387679741
112,1205.01,1207.111045751634,1223.0337950566823,1186.8850129367802
113,1209.35,1207.4718954248367,1225.8768255849075,1189.644013006043
114,1209.76,1207.8327450980391,1227.4481229408068,1191.1688680755612
115,1211.1,1208.1935947712418,1229.0243621555687,1192.698518939148
116,1212.55,1208.5544444444445,1230.6335661189235,1194.260160223783
117,1213.01,1208.9152941176471,1231.513661716587,1195.114243143683
118,1212.71,1209.2761437908496,1231.5163370244081,1195.1168393783664
119,1212.49,1209.6369934640522,1231.2137354248991,1194.8231816684981
120,1212.96,1209.997843137255,1231.3142138443914,1194.920690282488
121,1212.88,1210.3586928104576,1231.2329914257778,1194.8418685264935
122,1211.1,1210.7195424836602,1229.877778592338,1193.5267112447814
123,1211.0,1211.0803921568627,1229.2053504967919,1192.8741578712709
124,1211.74,1211.4412418300653,1229.4817307003266,1193.142369201795
125,1211.02,1211.802091503268,1229.1355840248834,1192.8064534625714
126,1211.81,1212.1629411764707,1229.5856328187494,1193.2432003216434
127,1210.1,1212.523790849673,1228.5920219599748,1192.2789572715028
128,1212.33,1212.8846405228758,1229.7798491319522,1193.4316762512049
129,1213.04,1213.2454901960784,1230.8344453746788,1194.4551021616342
130,1214.56,1213.606339869281,1232.3563947097098,1195.932067772477
131,1214.75,1213.9671895424838,1233.0878897737603,1196.6419422927625
132,1216.91,1214.3280392156862,1234.8482981937375,1198.3503189367796
133,1216.72,1214.6888888888889,1235.3587380845977,1198.8456719343142
134,1214.89,1215.0497385620915,1234.130729251253,1197.6539589285558
135,1215.18,1215.4105882352942,1233.7009849656308,1197.2369164444792
136,1215.23,1215.7714379084966,1233.5132070287307,1197.0546885943838
137,1216.63,1216.1322875816993,1234.4211853629172,1197.9358301305156
138,1217.51,1216.493137254902,1235.4323957884549,1198.9171525631805
139,1218.87,1216.8539869281046,1236.7990446570893,1200.243407869195
140,1216.76,1217.2148366013073,1235.8092054074727,1199.2828249520794
141,1214.18,1217.5756862745097,1233.4572796539237,1197.0004142454331
142,1214.28,1217.9365359477124,1232.5073949592438,1196.0786049604485
143,1215.47,1218.297385620915,1233.0235649451001,1196.5795186905652
144,1215.31,1218.6582352941177,1233.214325027185,1196.7646405436228
145,1216.38,1219.0190849673202,1234.10769530068,1197.6316057844037
146,1215.86,1219.3799346405228,1234.1427135118097,1197.6655889745148
147,1215.56,1219.7407843137255,1233.9329666307674,1197.4620415086758
148,1216.05,1220.1016339869282,1234.1852268163598,1197.7068457281916
149,1218.5,1220.4624836601308,1236.0417762026038,1199.5085217335616
150,1217.85,1220.8233333333333,1236.3501012073248,1199.8077336839556
151,1215.36,1221.184183006536,1234.6258680160256,1198.1344630500346
152,1210.92,1221.5450326797386,1230.6600236675006,1194.2858357758503
153,1207.77,1221.9058823529413,1226.7528181158048,1190.4941141320862
154,1207.71,1222.2667320261437,1225.2220266796894,1189.0085677630482
155,1210.95,1222.6275816993464,1227.1558528842327,1190.8852365428268
156,1210.62,1222.988431372549,1227.9900977854136,1191.6948239592439
157,1213.19,1223.3492810457517,1230.2959977784255,1193.932569272659
158,1212.78,1223.7101307189544,1231.028354919775,1194.6432803901264
159,1213.3,1224.0709803921568,1231.6588788121435,1195.2551681083364
160,1213.42,1224.4318300653595,1231.9409911470823,1195.5289421476612
161,1212.85,1224.7926797385621,1231.5736286690183,1195.172437673875
162,1213.54,1225.1535294117648,1231.8393813825617,1195.430335627412
163,1215.33,1225.5143790849672,1233.1875163611235,1196.7386242519278
164,1214.51,1225.87522875817,1233.1274530770588,1196.680336237343
165,1215.72,1226.2360784313726,1233.8850751193052,1197.4155655098677
166,1214.76,1226.5969281045752,1233.459639872494,1197.002704703849
167,1216.43,1226.9577777777777,1234.4021342013389,1197.917342057457
168,1215.13,1227.3186274509803,1233.8338578672958,1197.3658620682625
169,1214.96,1227.679477124183,1233.4126337987298,1196.9570879721662
170,1215.22,1228.0403267973857,1233.398130204425,1196.9430130555256
171,1216.53,1228.4011764705883,1234.328145452705,1197.8455401683887
